Nested Sampling Global Log-Evidence           :   -0.613520741887381291E+03  +/-    0.167972024038220924E+00
Nested Importance Sampling Global Log-Evidence:   -0.614102325454747984E+03  +/-    0.160899864380247594E-01

Dim No.       Mean        Sigma
   1    0.216856094287763113E+03    0.112498625971316144E+00
   2    0.221793408960035464E+03    0.631542662327488485E-01
   3    0.373105970023695965E+01    0.644384312794314268E-01
   4    0.115060456714215431E+01    0.365351595785970013E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.216854649542467001E+03
   2    0.221799833222794689E+03
   3    0.375108645596658619E+01
   4    0.116329996453847517E+01

MAP Parameters
Dim No.        Parameter
   1    0.216854649542467001E+03
   2    0.221799833222794689E+03
   3    0.375108645596658619E+01
   4    0.116329996453847517E+01
