Nested Sampling Global Log-Evidence           :    0.248163866167023230E+03  +/-    0.105825022028757459E+00
Nested Importance Sampling Global Log-Evidence:    0.248520969297624816E+03  +/-    0.118618536817089532E+00

Dim No.       Mean        Sigma
   1    0.215113718276051884E+03    0.174686828154914831E+01
   2    0.219891521232597086E+03    0.169842266620478166E+01
   3    0.159801776004184881E+01    0.351605148203330553E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.212744668032069114E+03
   2    0.221058787427169335E+03
   3    0.159989840098262359E+01

MAP Parameters
Dim No.        Parameter
   1    0.217372240854976354E+03
   2    0.219051051245579458E+03
   3    0.156686605946895607E+01
