Nested Sampling Global Log-Evidence           :   -0.265708936644142909E+03  +/-    0.105312021384629334E+00
Nested Importance Sampling Global Log-Evidence:   -0.265260803792817342E+03  +/-    0.951499711212347721E-01

Dim No.       Mean        Sigma
   1    0.215268545502481288E+03    0.283729025868913531E+01
   2    0.220084130468382000E+03    0.281262132118386132E+01
   3    0.121778438636617370E+01    0.359918238833466242E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.210993396438652240E+03
   2    0.218315431476485173E+03
   3    0.122057774044724887E+01

MAP Parameters
Dim No.        Parameter
   1    0.215589442911775052E+03
   2    0.217245815608542358E+03
   3    0.125856199036471761E+01
