Nested Sampling Global Log-Evidence           :   -0.607762027755409349E+03  +/-    0.172294072980511470E+00
Nested Importance Sampling Global Log-Evidence:   -0.607860051169326994E+03  +/-    0.184393770530979495E-01

Dim No.       Mean        Sigma
   1    0.216794523720772332E+03    0.102641251285414958E+00
   2    0.221673998757662048E+03    0.637366482271006923E-01
   3    0.363552915505209295E+01    0.626263449957529805E-01
   4    0.115618764572138888E+01    0.376476820683152302E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.216792786038929364E+03
   2    0.221663417624609224E+03
   3    0.366181826492092588E+01
   4    0.116800526726692766E+01

MAP Parameters
Dim No.        Parameter
   1    0.216792786038929364E+03
   2    0.221663417624609224E+03
   3    0.366181826492092588E+01
   4    0.116800526726692766E+01
