Nested Sampling Global Log-Evidence           :   -0.847974807245318857E+03  +/-    0.153439822936927373E+00
Nested Importance Sampling Global Log-Evidence:   -0.848284380839556889E+03  +/-    0.168909006036709435E-01

Dim No.       Mean        Sigma
   1    0.216795661427194716E+03    0.172904862786477015E+00
   2    0.221757424431900290E+03    0.122179074234331664E+00
   3    0.374576788545229755E+01    0.116185708231174356E+00
   4    0.177884050410121522E-01    0.575243755809280999E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.216809704338347899E+03
   2    0.221724259617059033E+03
   3    0.379561007378118331E+01
   4    0.232381778820203166E-01

MAP Parameters
Dim No.        Parameter
   1    0.216809704338347899E+03
   2    0.221724259617059033E+03
   3    0.379561007378118331E+01
   4    0.232381778820203166E-01
