Nested Sampling Global Log-Evidence           :    0.101009955939174759E+03  +/-    0.103036473365673731E+00
Nested Importance Sampling Global Log-Evidence:    0.100937237897726618E+03  +/-    0.855766648275834152E-01

Dim No.       Mean        Sigma
   1    0.215991837568507833E+03    0.287709523926125410E+01
   2    0.218818172175276942E+03    0.280436407169856272E+01
   3    0.133095796811037115E+01    0.358037569909928355E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.220299228778885123E+03
   2    0.214603168031625927E+03
   3    0.133082158544893669E+01

MAP Parameters
Dim No.        Parameter
   1    0.213523116356757072E+03
   2    0.222684964914190516E+03
   3    0.136533605196185892E+01
