Nested Sampling Global Log-Evidence           :   -0.380813178063571485E+02  +/-    0.159766324381938107E+00
Nested Importance Sampling Global Log-Evidence:   -0.378640878838681871E+02  +/-    0.173346265135774724E+00

Dim No.       Mean        Sigma
   1    0.216944782816120807E+03    0.295157596533733524E+00
   2    0.221765147036245139E+03    0.236398761218424930E+00
   3    0.328594458286096014E+01    0.159076089055202458E+00
   4   -0.503290295165553119E-03    0.472291074454563448E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.216961976878539161E+03
   2    0.221765161463102913E+03
   3    0.329806921626743099E+01
   4   -0.600602127425631238E-02

MAP Parameters
Dim No.        Parameter
   1    0.216961976878539161E+03
   2    0.221765161463102913E+03
   3    0.329806921626743099E+01
   4   -0.600602127425631238E-02
